inventory,name,set,setnumber,foil
1,"Aang, the Last Airbender",(TLA),4,
1,"Aang's Iceberg",(TLA),5,
1,"Aang's Iceberg",(TLA),6,
1,"Aang's Iceberg",(TLA),18,
1,"Aang's Iceberg",(TLA),21,
1,"Aang's Iceberg",(TLA),244,
2,"Airbending Lesson",(TLA),8,
1,"Appa, Loyal Sky Bison",(TLA),9,
1,"Avatar Enthusiasts",(TLA),11,*F*
2,"Compassionate Healer",(TLA),13,
2,"Avatar Enthusiasts",(TLA),11,
2,"Curious Farm Animals",(TLA),14,
1,"Destined Confrontation",(TLA),15,
1,"Fancy Footwork",(TLA),19,
1,"Gather the White Lotus",(TLA),20,
1,"Invasion Reinforcements",(TLA),24,
2,"Jeong Jeong's Deserters",(TLA),25,
2,"Kyoshi Warriors",(TLA),26,
1,"Master Piandao",(TLA),28,
1,"Momo, Playful Pet",(TLA),30,
2,"Path to Redemption",(TLA),31,
2,"Rabaroo Troop",(TLA),32,
1,"Razor Rings",(TLA),33,
4,"Sandbenders' Storm",(TLA),34,
1,"Suki, Courageous Rescuer",(TLA),37,
1,"Team Avatar",(TLA),38,
1,"Vengeful Villagers",(TLA),40,
1,"Water Tribe Captain",(TLA),41,*F*
1,"Water Tribe Rallier",(TLA),42,*F*
1,"Water Tribe Captain",(TLA),41,
1,"Yip Yip!",(TLA),43,
1,"The Unagi of Kyoshi Island",(TLA),77,
1,"Wan Shi Tong, Librarian",(TLA),78,
1,"Yue, the Moon Spirit",(TLA),83,
1,"Boomerang Basics",(TLA),46,*F*
1,"Ember Island Production",(TLA),48,
1,"The Spirit Oasis",(TLA),72,
1,"Crashing Wave",(TLA),47,
1,"Invasion Submersible",(TLA),57,
1,"Master Pakku",(TLA),63,
1,"Waterbending Scroll",(TLA),81,
1,"Serpent of the Pass",(TLA),70,
1,"Benevolent River Spirit",(TLA),45,
1,"Waterbending Lesson",(TLA),80,*F*
1,"Rowdy Snowballers",(TLA),68,
1,"Lost Days",(TLA),62,
1,"Geyser Leaper",(TLA),52,
3,"Teo, Spirited Glider",(TLA),74,
2,"Forecasting Fortune Teller",(TLA),51,
2,"Octopus Form",(TLA),66,
2,"Flexible Waterbender",(TLA),50,
2,"Iguana Parrot",(TLA),56,
2,"Otter-Penguin",(TLA),67,
2,"Watery Grasp",(TLA),82,
2,"First-Time Flyer",(TLA),49,
2,"Waterbending Lesson",(TLA),80,
2,"Giant Koi",(TLA),53,
2,"Iguana Parrot",(TLA),56,*F*
2,"It'll Quench Ya!",(TLA),58,
1,"Tiger-Seal",(TLA),318,
1,"The Fire Nation Drill",(TLA),98,
1,"Foggy Swamp Visions",(TLA),339,
1,"The Rise of Sozin // Fire Lord Sozin",(TLA),117,
1,"Obsessive Pursuit",(TLA),340,
1,"Sold Out",(TLA),119,*F*
1,"Deadly Precision",(TLA),95,
1,"Joo Dee, One of Many",(TLA),105,*F*
1,"Beetle-Headed Merchants",(TLA),86,
1,"Hog-Monkey",(TLA),104,
1,"Corrupt Court Official",(TLA),92,
1,"Heartless Act",(TLA),103,
1,"Fire Nation Engineer",(TLA),99,
1,"Joo Dee, One of Many",(TLA),105,
1,"Lo and Li, Twin Tutors",(TLA),108,
1,"Fatal Fissure",(TLA),97,
