inventory,name,set,setnumber,foil,image
1,Aang's Journey,TLA,1,,
1,Energybending,TLA,2,,https://cards.scryfall.io/large/front/6/c/6c085441-e023-4032-89a0-d24ce5060ac3.jpg?1764119878
2,Zuko's Exile,TLA,3,,https://cards.scryfall.io/large/front/9/0/9090b055-3406-4fed-a8c6-3f6353a9600e.jpg?1764119886
1,"Aang, the Last Airbender",TLA,4,,https://cards.scryfall.io/large/front/2/4/245e008c-e073-443f-9592-6f628c0026ec.jpg?1764119893
2,Airbender Ascension,TLA,6,,https://cards.scryfall.io/large/front/9/9/99a90d13-891c-45cc-b1d5-6080ebae5862.jpg?1764119907
1,Airbender's Reversal,TLA,7,,https://cards.scryfall.io/large/front/6/b/6b7078e4-2892-4b5f-83ab-90369e0d6dba.jpg?1764119914
2,Airbending Lesson,TLA,8,*F*,https://cards.scryfall.io/large/front/e/2/e2bcd0a6-e94d-4a21-a334-a57459c1b8cc.jpg?1764119921
1,"Appa, Loyal Sky Bison",TLA,9,*F*,https://cards.scryfall.io/large/front/a/9/a9b2a843-c6fe-4d19-801e-1538e4381ab0.jpg?1764119928
1,"Appa, Loyal Sky Bison",TLA,9,,https://cards.scryfall.io/large/front/a/9/a9b2a843-c6fe-4d19-801e-1538e4381ab0.jpg?1764119928
1,"Appa, Steadfast Guardian",TLA,10,,https://cards.scryfall.io/large/front/8/2/829d91e9-4878-4e55-a262-ac0d55b65d4e.jpg?1764119935
1,Avatar Enthusiasts,TLA,11,,https://cards.scryfall.io/large/front/7/2/7292e5f2-d5a1-4e39-8f75-eba471819f04.jpg?1764119942
1,Avatar's Wrath,TLA,12,,https://cards.scryfall.io/large/front/4/8/4811072d-fac0-40dd-a5cf-9694d51b12cf.jpg?1764119949
1,Compassionate Healer,TLA,13,*F*,https://cards.scryfall.io/large/front/8/8/88d5f8fd-d4de-4e64-9b74-e53719ffbcdc.jpg?1764119957
2,Compassionate Healer,TLA,13,,https://cards.scryfall.io/large/front/8/8/88d5f8fd-d4de-4e64-9b74-e53719ffbcdc.jpg?1764119957
1,Curious Farm Animals,TLA,14,,
